Dependency metrics,Qua, 13 dez 2017 11:40:14 BRST
Class,Cyclic,Dcy,Dcy*,Dpt,Dpt*
"net.sourceforge.atunes.kernel.controllers.playListControls",5,4
"net.sourceforge.atunes.kernel.controllers.playListFilter",5,3
"net.sourceforge.atunes.kernel.controllers.playerControls",8,3
"net.sourceforge.atunes.kernel.controllers.stats",6,4
"net.sourceforge.atunes.kernel.controllers.toolbar",7,2
"net.sourceforge.atunes.kernel.executors",11,9
"net.sourceforge.atunes.kernel.executors.processes",13,4
"net.sourceforge.atunes.kernel.handlers",52,36
"net.sourceforge.atunes.kernel.modules.amazon",6,3
"net.sourceforge.atunes.kernel.modules.audioscrobbler",7,5
"net.sourceforge.atunes.kernel.modules.audioscrobbler.submitter",8,1
"net.sourceforge.atunes.kernel.modules.castor",0,1
"net.sourceforge.atunes.kernel.modules.cdripper",7,4
"net.sourceforge.atunes.kernel.modules.cdripper.cdda2wav",6,2
"net.sourceforge.atunes.kernel.modules.cdripper.cdda2wav.model",1,4
"net.sourceforge.atunes.kernel.modules.cdripper.encoders",8,2
"net.sourceforge.atunes.kernel.modules.device",5,4
"net.sourceforge.atunes.kernel.modules.favorites",2,1
"net.sourceforge.atunes.kernel.modules.lyrics",6,1
"net.sourceforge.atunes.kernel.modules.mplayer",15,1
"net.sourceforge.atunes.kernel.modules.playlist",14,6
"net.sourceforge.atunes.kernel.modules.podcast",11,15
"net.sourceforge.atunes.kernel.modules.proxy",1,10
"net.sourceforge.atunes.kernel.modules.radio",2,12
"net.sourceforge.atunes.kernel.modules.regexp",2,1
"net.sourceforge.atunes.kernel.modules.repository",10,5
"net.sourceforge.atunes.kernel.modules.repository.audio",4,33
"net.sourceforge.atunes.kernel.modules.repository.tags.reader",3,1
"net.sourceforge.atunes.kernel.modules.repository.tags.tag",1,11
"net.sourceforge.atunes.kernel.modules.repository.tags.writer",12,4
"net.sourceforge.atunes.kernel.modules.search",2,3
"net.sourceforge.atunes.kernel.modules.state",6,23
"net.sourceforge.atunes.kernel.modules.updates",9,2
"net.sourceforge.atunes.kernel.utils",10,26
"net.sourceforge.atunes.model.info",3,16
"net.sourceforge.atunes.model.player",4,5
"net.sourceforge.atunes.model.search",0,5
"net.sourceforge.atunes.utils",1,43
"net.sourceforge.atunes.utils.language",6,34
"net.sourceforge.atunes.utils.log4j",4,41

