SmellMetrics,Ter, 12 jun 2018 17:05:48 BRT
Method,CALL,CALLED,IMP,LOC,NBD,NP,STAT,v(G)
"com.mongodb.CompoundDBObjectCodec",10,2,22,24,8,1,3,3,29,29,0,11,0,"1,00",4,9,7
"com.mongodb.ConnectionString",25,34,63,97,12,1,0,5,1.043,736,0,8,3,"4,29",47,135,219
"com.mongodb.Cursor",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,3,n/a
"com.mongodb.CursorType",8,5,26,31,0,n/a,2,1,44,21,n/a,20,0,"1,00",1,1,3
"com.mongodb.DB",72,10,59,69,52,1,0,2,690,359,0,10,1,"1,69",37,136,83
"com.mongodb.DBAddress",2,4,39,43,1,2,1,6,146,85,0,12,3,"1,57",8,33,22
"com.mongodb.DBCallback",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0,n/a
"com.mongodb.DBCallbackFactory",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1,n/a
"com.mongodb.DBCollection",142,13,168,181,111,1,0,5,2.261,1.013,0,10,1,"1,60",131,501,255
"com.mongodb.DBCollectionObjectFactory",9,2,24,26,6,1,1,1,63,63,0,11,0,"1,50",8,24,15
"com.mongodb.DBCursor",39,14,91,105,29,1,5,3,847,451,0,13,2,"1,73",58,172,116
"com.mongodb.DBCursor.IteratorOrArray",1,4,25,29,0,n/a,2,0,4,4,n/a,20,0,n/a,0,0,0
"com.mongodb.DBCursor.OptionalFinalizer",5,3,15,18,4,1,0,1,18,18,0,10,1,"1,33",0,5,4
"com.mongodb.DBDecoder",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,3,n/a
"com.mongodb.DBDecoderAdapter",14,3,15,18,12,1,1,1,28,27,0,11,0,"1,00",1,14,2
"com.mongodb.DBDecoderAdapter.BufferExposingByteArrayOutputStream",1,2,37,39,0,3,3,1,9,8,0,25,0,"1,00",1,3,2
"com.mongodb.DBDecoderFactory",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1,n/a
"com.mongodb.DBEncoder",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1,n/a
"com.mongodb.DBEncoderAdapter",14,1,17,18,11,1,1,2,27,25,0,11,0,"1,00",1,14,3
"com.mongodb.DBEncoderFactory",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1,n/a
"com.mongodb.DBEncoderFactoryAdapter",8,1,17,18,6,1,1,2,14,14,0,11,0,"1,00",1,6,3
"com.mongodb.DBObject",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,2,n/a
"com.mongodb.DBObjectCodec",40,6,45,51,34,1,4,3,263,238,0,11,0,"2,22",14,98,60
"com.mongodb.DBObjectCodecProvider",11,1,18,19,9,1,1,1,52,37,0,9,2,"2,00",3,10,10
"com.mongodb.DBObjectCollationHelper",10,0,14,14,8,1,0,1,89,89,0,11,0,"11,00",1,19,22
"com.mongodb.DBObjectFactory",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,2,n/a
"com.mongodb.DBObjects",12,0,14,14,8,1,0,1,8,8,0,11,0,"1,00",1,8,2
"com.mongodb.DBRef",19,4,20,24,1,1,1,3,93,57,0,8,3,"2,00",6,14,16
"com.mongodb.DBRefCodec",10,1,19,20,9,1,3,3,37,27,0,11,0,"1,25",2,16,5
"com.mongodb.DBRefCodecProvider",7,0,16,16,5,1,1,1,29,24,0,9,2,"2,00",3,5,6
"com.mongodb.DefaultDBCallback",12,5,86,91,11,2,2,3,49,40,0,45,4,"1,83",3,21,11
"com.mongodb.DefaultDBDecoder",13,1,28,29,8,2,2,1,31,28,0,14,1,"1,00",4,11,5
"com.mongodb.DefaultDBEncoder",13,3,53,56,7,2,2,1,40,31,0,40,2,"1,20",3,15,6
"com.mongodb.DistinctIterableImpl",15,13,45,58,14,2,3,2,50,50,0,23,1,"1,17",5,18,7
"com.mongodb.DocumentToDBRefTransformer",5,0,16,16,3,1,1,1,33,26,0,9,2,"2,33",3,7,7
"com.mongodb.DuplicateKeyException",10,10,62,72,4,7,1,0,18,6,0,32,0,"1,00",0,2,1
"com.mongodb.ErrorCategory",4,7,26,33,0,n/a,2,1,40,16,n/a,20,0,"3,00",1,3,3
"com.mongodb.ExplainVerbosity",9,5,25,30,0,n/a,2,0,24,5,n/a,20,0,n/a,0,0,0
"com.mongodb.FindIterableImpl",18,11,84,95,17,2,3,1,171,171,0,22,2,"1,07",26,108,29
"com.mongodb.Function",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1,n/a
"com.mongodb.GroupCommand",11,8,18,26,11,1,0,1,140,82,0,11,0,"2,50",2,20,15
"com.mongodb.InsertOptions",5,4,20,24,2,1,0,4,89,34,0,11,0,"1,00",8,8,8
"com.mongodb.InsertRequest",8,2,16,18,7,2,0,1,15,15,0,11,0,"1,00",2,5,3
"com.mongodb.LazyDBCallback",10,1,84,85,8,3,2,3,30,22,0,44,3,"1,25",3,14,5
"com.mongodb.LazyDBDecoder",8,1,27,28,8,2,2,1,35,30,0,14,1,"1,00",4,8,5
"com.mongodb.LazyDBEncoder",7,0,14,14,6,1,1,0,17,14,0,11,0,"2,00",1,4,2
"com.mongodb.LazyDBList",5,4,127,131,3,3,5,1,33,17,0,62,0,"1,00",1,6,4
"com.mongodb.LazyDBObject",7,4,53,57,3,2,2,1,35,18,0,31,0,"1,00",1,6,4
"com.mongodb.ListCollectionsIterableImpl",14,10,44,54,13,2,3,2,41,41,0,23,1,"1,33",5,17,8
"com.mongodb.ListDatabasesIterableImpl",12,8,41,49,11,2,3,2,26,26,0,23,1,"1,00",3,11,4
"com.mongodb.ListIndexesIterableImpl",13,9,41,50,12,2,3,2,30,30,0,23,1,"1,25",3,13,5
"com.mongodb.MapReduceCommand",8,17,43,60,6,1,0,4,348,170,0,10,1,"1,45",19,37,45
"com.mongodb.MapReduceCommand.OutputType",4,6,25,31,0,n/a,2,0,23,6,n/a,20,0,n/a,0,0,0
"com.mongodb.MapReduceIterableImpl",22,28,74,102,21,2,3,2,189,189,0,22,2,"1,36",20,70,30
"com.mongodb.MapReduceIterableImpl.WrappedMapReduceReadOperation",6,1,16,17,5,1,1,1,14,13,0,11,0,"1,00",2,4,3
"com.mongodb.MapReduceOutput",8,5,25,30,7,1,0,4,134,72,0,10,1,"1,31",10,27,17
"com.mongodb.MappingIterable",6,2,29,31,5,1,2,2,51,51,0,13,0,"1,10",6,14,11
"com.mongodb.Mongo",83,13,77,90,66,1,0,7,747,432,1,10,1,"1,30",35,178,99
"com.mongodb.Mongo.ClientSessionImpl",9,7,35,42,9,1,3,2,82,82,0,11,0,"1,75",8,20,21
"com.mongodb.Mongo.Holder",4,2,16,18,4,1,0,2,54,28,0,11,0,"1,50",4,11,6
"com.mongodb.Mongo.ServerCursorAndNamespace",3,2,13,15,2,1,0,0,8,8,0,11,0,"1,00",0,1,1
"com.mongodb.MongoBatchCursorAdapter",7,3,33,36,4,1,4,2,55,55,0,12,1,"1,56",6,19,14
"com.mongodb.MongoBulkWriteException",13,12,63,75,5,6,1,4,93,60,0,25,3,"2,43",6,18,17
"com.mongodb.MongoChangeStreamException",3,7,54,61,1,5,1,0,17,6,0,27,0,"1,00",0,2,1
"com.mongodb.MongoClient",57,13,102,115,33,2,2,4,413,118,0,44,2,"1,03",14,66,32
"com.mongodb.MongoClientException",12,7,55,62,1,5,1,0,25,9,4,27,0,"1,00",0,4,2
"com.mongodb.MongoClientOptions",33,40,59,99,22,1,0,38,776,447,0,8,3,"2,30",46,94,108
"com.mongodb.MongoClientOptions.Builder",25,36,52,88,18,1,0,36,583,255,0,11,0,"1,07",38,91,43
"com.mongodb.MongoClientURI",19,2,25,27,5,1,0,1,349,133,0,8,3,"3,46",11,74,45
"com.mongodb.MongoCollectionImpl",76,7,263,270,75,1,1,1,805,805,0,11,0,"1,21",113,332,170
"com.mongodb.MongoCommandException",37,9,63,72,11,6,1,4,57,31,0,28,0,"1,00",6,23,7
"com.mongodb.MongoCompressor",16,3,22,25,1,1,0,5,102,60,0,8,3,"1,40",8,22,14
"com.mongodb.MongoConfigurationException",3,7,56,63,1,6,1,0,16,6,0,27,0,"1,00",0,2,1
"com.mongodb.MongoCredential",38,14,31,45,3,1,0,12,381,138,0,8,3,"2,00",17,36,38
"com.mongodb.MongoCursorAdapter",6,1,28,29,5,1,4,1,30,30,0,12,1,"1,00",4,14,7
"com.mongodb.MongoCursorNotFoundException",7,11,62,73,2,7,1,2,37,16,0,29,1,"1,00",2,4,3
"com.mongodb.MongoDatabaseImpl",27,6,91,97,26,1,1,1,241,241,0,11,0,"1,16",30,90,52
"com.mongodb.MongoException",52,7,54,61,0,4,1,2,62,32,9,26,0,"1,33",2,9,8
"com.mongodb.MongoExecutionTimeoutException",7,7,54,61,1,5,1,0,17,6,0,27,0,"1,00",0,2,1
"com.mongodb.MongoGridFSException",11,7,55,62,1,5,1,0,25,9,0,27,0,"1,00",0,4,2
"com.mongodb.MongoIncompatibleDriverException",3,8,55,63,2,5,1,1,28,11,0,27,0,"1,00",1,3,2
"com.mongodb.MongoInternalException",30,7,55,62,1,5,1,0,19,9,0,27,0,"1,00",0,4,2
"com.mongodb.MongoInterruptedException",9,7,54,61,1,5,1,0,18,6,0,27,0,"1,00",0,2,1
"com.mongodb.MongoIterableImpl",24,5,35,40,13,1,2,4,79,79,13,13,0,"1,14",12,22,16
"com.mongodb.MongoMappingCursor",6,2,32,34,5,1,4,1,41,41,0,12,1,"1,12",5,17,9
"com.mongodb.MongoNamespace",82,4,24,28,1,1,0,7,152,94,0,8,3,"1,75",8,23,21
"com.mongodb.MongoNodeIsRecoveringException",4,8,57,65,2,6,1,0,17,6,0,28,0,"1,00",0,2,1
"com.mongodb.MongoNotPrimaryException",6,8,57,65,2,6,1,0,17,6,0,28,0,"1,00",0,2,1
"com.mongodb.MongoOptions",11,20,59,79,8,1,0,1,690,371,0,8,3,"2,06",25,90,97
"com.mongodb.MongoQueryException",7,9,59,68,3,6,1,2,37,15,1,28,0,"1,00",2,6,3
"com.mongodb.MongoSecurityException",13,8,58,66,2,6,1,1,38,15,0,27,0,"1,00",1,5,3
"com.mongodb.MongoServerException",18,8,56,64,2,5,1,1,38,15,8,27,0,"1,00",1,5,3
"com.mongodb.MongoSocketClosedException",3,8,57,65,2,6,1,0,17,6,0,28,0,"1,00",0,2,1
"com.mongodb.MongoSocketException",12,8,56,64,2,5,1,1,36,15,5,27,0,"1,00",1,5,3
"com.mongodb.MongoSocketOpenException",7,8,57,65,2,6,1,0,18,6,0,28,0,"1,00",0,2,1
"com.mongodb.MongoSocketReadException",6,8,58,66,2,6,1,0,27,9,0,28,0,"1,00",0,4,2
"com.mongodb.MongoSocketReadTimeoutException",7,8,57,65,2,6,1,0,18,6,0,28,0,"1,00",0,2,1
"com.mongodb.MongoSocketWriteException",3,8,57,65,2,6,1,0,18,6,0,28,0,"1,00",0,2,1
"com.mongodb.MongoTimeoutException",9,7,56,63,1,6,1,0,14,6,0,27,0,"1,00",0,2,1
"com.mongodb.MongoURI",10,3,28,31,9,1,0,2,157,64,0,10,1,"1,00",14,32,16
"com.mongodb.MongoWaitQueueFullException",4,7,56,63,1,6,1,0,17,6,0,27,0,"1,00",0,2,1
"com.mongodb.MongoWriteConcernException",11,10,60,70,5,6,1,2,53,20,0,28,0,"1,00",2,8,4
"com.mongodb.MongoWriteException",5,9,58,67,3,6,1,1,26,11,0,28,0,"1,00",1,5,2
"com.mongodb.OperationExecutor",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,4,n/a
"com.mongodb.ParallelScanOptions",4,3,17,20,2,1,0,4,49,23,0,11,0,"1,00",4,5,5
"com.mongodb.ParallelScanOptions.Builder",4,3,16,19,3,1,0,4,49,23,0,11,0,"1,00",4,7,4
"com.mongodb.QueryBuilder",13,3,47,50,8,1,0,2,431,215,0,11,0,"1,40",33,51,49
"com.mongodb.QueryBuilder.NullObject",1,0,12,12,0,1,0,0,2,2,0,11,0,n/a,0,0,0
"com.mongodb.QueryBuilder.QueryBuilderException",2,5,49,54,0,4,1,0,6,6,0,26,0,"1,00",0,2,1
"com.mongodb.QueryOperators",1,40,13,53,0,1,0,0,54,44,0,11,0,"1,00",0,1,1
"com.mongodb.ReadConcern",52,5,19,24,4,1,0,1,86,41,0,9,2,"1,57",5,14,11
"com.mongodb.ReadConcernLevel",4,6,28,34,1,n/a,2,1,53,21,n/a,20,0,"1,67",2,8,5
"com.mongodb.ReadPreference",110,5,48,53,12,1,0,16,525,170,2,11,0,"1,48",35,54,46
"com.mongodb.ReadPreference.PrimaryReadPreference",5,0,28,28,5,2,0,4,40,37,0,9,3,"1,00",8,15,9
"com.mongodb.ReflectionDBObject",8,4,39,43,3,1,2,5,133,94,0,11,0,"1,38",12,40,22
"com.mongodb.ReflectionDBObject.FieldInfo",2,4,14,18,1,1,0,1,15,13,0,11,0,"1,00",1,2,2
"com.mongodb.ReflectionDBObject.JavaWrapper",4,4,18,22,3,1,0,2,114,82,0,11,0,"3,17",5,31,19
"com.mongodb.RemoveRequest",9,4,17,21,8,2,0,1,22,22,0,11,0,"1,00",3,8,4
"com.mongodb.ReplaceRequest",10,6,19,25,9,2,0,1,37,37,0,11,0,"1,00",5,10,6
"com.mongodb.ReplicaSetStatus",5,1,19,20,4,1,0,1,61,34,0,10,1,"1,43",6,17,10
"com.mongodb.ServerAddress",125,3,27,30,2,1,1,4,178,113,1,8,3,"1,80",9,36,27
"com.mongodb.ServerCursor",20,3,18,21,1,1,1,2,70,48,0,8,3,"2,00",5,10,12
"com.mongodb.ServerSession",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,3,n/a
"com.mongodb.ServerSessionPool",21,7,20,27,19,1,0,1,81,79,0,11,0,"1,56",2,35,14
"com.mongodb.ServerSessionPool.Clock",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1,n/a
"com.mongodb.ServerSessionPool.ServerSessionImpl",6,4,22,26,5,1,1,3,31,31,0,11,0,"1,00",5,9,7
"com.mongodb.ServerSessionPool.ServerSessionItemFactory",12,0,19,19,12,1,1,3,24,24,0,11,0,"1,25",3,18,5
"com.mongodb.Tag",9,2,18,20,1,1,0,2,65,45,0,8,3,"1,67",5,10,10
"com.mongodb.TagSet",18,1,23,24,2,1,1,1,82,55,0,10,3,"1,75",5,22,14
"com.mongodb.TaggableReadPreference",17,4,37,41,13,2,0,3,208,184,2,9,3,"2,89",16,62,52
"com.mongodb.TaggableReadPreference.NearestReadPreference",5,2,40,42,4,3,0,2,31,28,0,21,0,"1,75",2,12,7
"com.mongodb.TaggableReadPreference.PrimaryPreferredReadPreference",6,2,44,46,5,4,0,2,23,20,0,21,2,"1,25",2,9,5
"com.mongodb.TaggableReadPreference.SecondaryPreferredReadPreference",5,2,44,46,4,4,0,2,23,20,0,21,2,"1,25",2,8,5
"com.mongodb.TaggableReadPreference.SecondaryReadPreference",7,2,40,42,4,3,0,2,31,28,2,21,0,"1,75",2,12,7
"com.mongodb.UnacknowledgedBulkWriteResult",3,0,31,31,2,2,0,2,54,54,0,8,3,"1,17",11,14,14
"com.mongodb.UpdateRequest",10,7,21,28,9,2,0,1,47,47,0,11,0,"1,00",7,15,8
"com.mongodb.WriteConcern",77,20,49,69,6,1,1,4,560,229,1,8,3,"1,76",24,66,65
"com.mongodb.WriteConcern.Majority",1,5,49,54,1,2,1,0,25,10,0,33,0,"1,00",0,3,2
"com.mongodb.WriteConcernError",4,3,19,22,2,1,0,3,82,54,0,8,3,"1,71",6,13,12
"com.mongodb.WriteConcernException",15,10,63,73,8,6,1,2,95,50,1,28,0,"2,00",6,21,14
"com.mongodb.WriteConcernResult",23,0,18,18,1,1,0,1,149,106,2,11,0,"1,65",6,6,28
"com.mongodb.WriteError",10,3,21,24,3,1,0,3,99,62,1,8,3,"1,56",7,16,14
"com.mongodb.WriteRequest",7,0,13,13,2,1,0,1,3,3,4,11,0,n/a,1,1,0
"com.mongodb.WriteResult",5,4,21,25,0,1,0,2,101,53,0,10,1,"1,22",6,10,11
"com.mongodb.annotations.Beta",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0,n/a
"com.mongodb.annotations.Immutable",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0,n/a
"com.mongodb.annotations.NotThreadSafe",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0,n/a
"com.mongodb.annotations.ThreadSafe",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0,n/a
"com.mongodb.assertions.Assertions",255,0,18,18,1,1,0,5,79,35,0,11,0,"1,83",2,9,11
"com.mongodb.async.AsyncBatchCursor",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,6,n/a
"com.mongodb.async.SingleResultCallback",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1,n/a
"com.mongodb.async.client.AbstractSubscription",5,7,34,41,2,1,1,1,174,172,3,11,0,"2,24",5,28,38
"com.mongodb.async.client.AggregateIterable",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,10,n/a
"com.mongodb.async.client.AggregateIterableImpl",26,18,47,65,25,1,2,2,168,168,0,11,0,"1,47",13,66,28
"com.mongodb.async.client.AwaitingWriteOperationIterable",11,4,25,29,9,1,1,2,141,141,0,11,0,"2,42",2,18,29
"com.mongodb.async.client.ChangeStreamIterable",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,6,n/a
"com.mongodb.async.client.ChangeStreamIterableImpl",22,12,38,50,21,1,2,2,103,103,0,11,0,"1,21",9,35,17
"com.mongodb.async.client.DistinctIterable",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,4,n/a
"com.mongodb.async.client.DistinctIterableImpl",18,11,33,44,17,1,2,3,80,79,0,11,0,"1,09",6,26,12
"com.mongodb.async.client.FindIterable",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,22,n/a
"com.mongodb.async.client.FindIterableImpl",23,9,72,81,20,1,2,2,199,199,0,11,0,"1,03",27,109,33
"com.mongodb.async.client.FlatteningSingleResultCallbackSubscription",5,9,37,46,4,2,1,1,32,30,0,23,0,"1,25",1,6,5
"com.mongodb.async.client.ListCollectionsIterable",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,3,n/a
"com.mongodb.async.client.ListCollectionsIterableImpl",16,8,34,42,15,1,2,2,76,76,0,11,0,"1,08",8,27,14
"com.mongodb.async.client.ListDatabasesIterable",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,2,n/a
"com.mongodb.async.client.ListDatabasesIterableImpl",14,5,31,36,13,1,2,3,60,59,0,11,0,"1,00",6,22,11
"com.mongodb.async.client.ListIndexesIterable",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,2,n/a
"com.mongodb.async.client.ListIndexesIterableImpl",15,7,31,38,14,1,2,2,65,65,0,11,0,"1,00",6,23,11
"com.mongodb.async.client.MapReduceIterable",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,17,n/a
"com.mongodb.async.client.MapReduceIterableImpl",27,27,61,88,26,1,2,2,219,219,0,11,0,"1,22",20,75,33
"com.mongodb.async.client.MappingAsyncBatchCursor",4,2,28,30,3,1,3,1,54,54,0,11,0,"1,33",3,14,12
"com.mongodb.async.client.MappingIterable",17,2,25,27,7,1,1,2,85,85,0,11,0,"1,31",2,12,17
"com.mongodb.async.client.MongoClient",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,6,n/a
"com.mongodb.async.client.MongoClientImpl",28,5,32,37,26,1,3,2,104,104,0,11,0,"1,06",8,27,18
"com.mongodb.async.client.MongoClientSettings",20,15,30,45,14,1,0,17,211,86,0,11,0,"1,00",17,21,18
"com.mongodb.async.client.MongoClientSettings.Builder",23,15,30,45,21,1,0,16,238,109,0,11,0,"1,06",16,54,19
"com.mongodb.async.client.MongoClients",41,1,26,27,33,1,0,2,195,109,0,11,0,"1,57",13,78,22
"com.mongodb.async.client.MongoCollection",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,61,n/a
"com.mongodb.async.client.MongoCollectionImpl",79,8,145,153,78,1,1,1,559,559,0,11,0,"1,45",34,253,116
"com.mongodb.async.client.MongoDatabase",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,23,n/a
"com.mongodb.async.client.MongoDatabaseImpl",28,6,61,67,27,1,1,1,165,165,0,11,0,"1,26",16,73,34
"com.mongodb.async.client.MongoIterable",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,6,n/a
"com.mongodb.async.client.MongoIterableSubscription",6,11,40,51,5,2,1,1,87,77,0,21,2,"2,12",2,15,17
"com.mongodb.async.client.NettyMongoClients",6,0,14,14,6,1,0,1,18,17,0,11,0,"1,00",1,8,3
"com.mongodb.async.client.Observable",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1,n/a
"com.mongodb.async.client.Observables",8,0,16,16,8,1,0,3,74,28,0,11,0,"1,00",3,4,7
"com.mongodb.async.client.Observer",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,4,n/a
"com.mongodb.async.client.OperationIterable",18,3,26,29,10,1,1,3,118,118,0,11,0,"1,53",2,13,23
"com.mongodb.async.client.SingleResultCallbackSubscription",5,9,37,46,4,2,1,1,31,29,0,23,0,"1,25",1,6,5
"com.mongodb.async.client.Subscription",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,3,n/a
"com.mongodb.async.client.gridfs.AsyncInputStream",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,2,n/a
"com.mongodb.async.client.gridfs.AsyncOutputStream",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,2,n/a
"com.mongodb.async.client.gridfs.GridFSBucket",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,32,n/a
"com.mongodb.async.client.gridfs.GridFSBucketImpl",37,7,85,92,36,1,1,3,352,352,0,11,0,"1,38",22,81,72
"com.mongodb.async.client.gridfs.GridFSBuckets",5,0,15,15,3,1,0,2,28,10,0,11,0,"1,00",2,5,3
"com.mongodb.async.client.gridfs.GridFSDownloadStream",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,2,n/a
"com.mongodb.async.client.gridfs.GridFSDownloadStreamImpl",17,15,35,50,16,1,2,1,253,251,0,11,0,"2,25",9,48,54
"com.mongodb.async.client.gridfs.GridFSFindIterable",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,8,n/a
"com.mongodb.async.client.gridfs.GridFSFindIterableImpl",11,1,40,41,10,1,2,1,66,66,0,11,0,"1,00",9,27,14
"com.mongodb.async.client.gridfs.GridFSIndexCheck",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1,n/a
"com.mongodb.async.client.gridfs.GridFSIndexCheckImpl",11,3,18,21,10,1,1,1,93,93,0,11,0,"2,00",0,17,22
"com.mongodb.async.client.gridfs.GridFSUploadStream",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,3,n/a
"com.mongodb.async.client.gridfs.GridFSUploadStreamImpl",18,17,33,50,17,1,2,2,241,237,0,11,0,"1,95",7,35,43
"com.mongodb.async.client.gridfs.helpers.AsyncStreamHelper",7,0,20,20,5,1,0,3,177,128,0,11,0,"1,38",6,19,22
"com.mongodb.async.client.gridfs.helpers.AsynchronousChannelHelper",5,0,17,17,4,1,0,4,147,116,0,11,0,"1,00",4,6,21
"com.mongodb.binding.AbstractReferenceCounted",13,1,18,19,1,1,1,1,20,20,12,11,0,"1,67",2,8,5
"com.mongodb.binding.AsyncClusterBinding",16,3,33,36,14,2,4,3,54,42,0,13,1,"1,12",3,11,9
"com.mongodb.binding.AsyncClusterBinding.AsyncClusterBindingConnectionSource",9,2,28,30,9,2,2,4,29,29,0,12,2,"1,00",3,11,6
"com.mongodb.binding.AsyncConnectionSource",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,4,n/a
"com.mongodb.binding.AsyncReadBinding",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,4,n/a
"com.mongodb.binding.AsyncReadWriteBinding",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1,n/a
"com.mongodb.binding.AsyncSingleConnectionReadBinding",13,4,28,32,12,2,2,5,47,35,0,12,2,"1,17",3,14,7
"com.mongodb.binding.AsyncSingleConnectionReadBinding.AsyncSingleConnectionSource",8,1,28,29,8,2,2,5,29,29,0,12,2,"1,17",3,13,7
"com.mongodb.binding.AsyncWriteBinding",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,3,n/a
"com.mongodb.binding.ClusterBinding",13,3,32,35,11,2,4,4,40,29,0,13,1,"1,00",5,10,6
"com.mongodb.binding.ClusterBinding.ClusterBindingConnectionSource",10,2,28,30,10,2,2,4,29,29,0,12,2,"1,00",4,12,6
"com.mongodb.binding.ConnectionSource",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,4,n/a
"com.mongodb.binding.ReadBinding",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,4,n/a
