SmellsMetrics,Ter, 12 jun 2018 13:51:28 BRT
Method,CALL,CALLED,IMP,LOC,NBD,NP,STAT,v(G)
"org.apache.commons.logging.impl.WeakHashtable.WeakKey.WeakKey(Object,ReferenceQueue,Referenced)",1,1,n/a,6,0,3,2,1
"org.apache.commons.logging.impl.WeakHashtable.WeakKey.getReferenced()",0,2,n/a,3,0,0,1,1
"org.apache.commons.logging.impl.WeakHashtable.containsKey(Object)",2,0,n/a,8,0,1,2,1
"org.apache.commons.logging.impl.WeakHashtable.elements()",2,0,n/a,7,0,0,2,1
"org.apache.commons.logging.impl.WeakHashtable.entrySet()",11,0,n/a,19,2,0,13,3
"org.apache.commons.logging.impl.WeakHashtable.get(Object)",2,0,n/a,8,0,1,2,1
"org.apache.commons.logging.impl.WeakHashtable.isEmpty()",2,0,n/a,7,0,0,2,1
"org.apache.commons.logging.impl.WeakHashtable.keySet()",8,0,n/a,16,2,0,10,3
"org.apache.commons.logging.impl.WeakHashtable.keys()",6,0,n/a,4,2,0,6,1
"org.apache.commons.logging.impl.WeakHashtable.purge()",3,11,n/a,12,2,0,4,2
"org.apache.commons.logging.impl.WeakHashtable.purgeOne()",3,2,n/a,12,2,0,4,2
"org.apache.commons.logging.impl.WeakHashtable.put(Object,Object)",6,1,n/a,24,1,2,11,5
"org.apache.commons.logging.impl.WeakHashtable.putAll(Map)",7,0,n/a,12,2,1,6,3
"org.apache.commons.logging.impl.WeakHashtable.rehash()",2,0,n/a,8,0,0,2,1
"org.apache.commons.logging.impl.WeakHashtable.remove(Object)",4,0,n/a,16,1,1,6,3
"org.apache.commons.logging.impl.WeakHashtable.size()",2,0,n/a,7,0,0,2,1
"org.apache.commons.logging.impl.WeakHashtable.toString()",2,0,n/a,7,0,0,2,1
"org.apache.commons.logging.impl.WeakHashtable.values()",2,0,n/a,7,0,0,2,1

Class,CBO,CSA,CSO,CSOA,Dcy*,DIT,Inner,LCOM,LOC,NCLOC,NOC,NOIC,NOOC,OCavg,Query,RFC,WMC
"org.apache.commons.logging.Log",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,18,n/a
"org.apache.commons.logging.LogConfigurationException",3,1,5,6,0,0,0,1,53,19,0,0,0,"1,20",1,5,6
"org.apache.commons.logging.LogFactory",4,14,34,48,2,0,0,4,1.545,758,1,0,0,"4,16",22,35,133
"org.apache.commons.logging.LogSource",2,4,7,11,2,0,0,2,202,117,0,0,0,"2,14",4,8,15
"org.apache.commons.logging.impl.AvalonLogger",1,2,40,42,1,0,1,2,246,72,0,0,0,"1,59",7,22,35
"org.apache.commons.logging.impl.Jdk13LumberjackLogger",1,6,40,46,1,0,1,1,247,114,0,0,0,"1,27",7,22,28
"org.apache.commons.logging.impl.Jdk14Logger",2,3,39,42,2,0,1,1,219,88,0,0,0,"1,19",7,21,25
"org.apache.commons.logging.impl.Log4JLogger",1,4,40,44,1,0,1,1,257,86,0,0,0,"1,09",7,22,24
"org.apache.commons.logging.impl.LogFactoryImpl",4,24,39,63,4,1,0,2,1.186,615,0,0,0,"3,65",21,39,113
"org.apache.commons.logging.impl.LogKitLogger",1,2,38,40,1,0,1,1,213,88,0,0,0,"1,55",7,20,31
"org.apache.commons.logging.impl.NoOpLog",2,0,38,38,1,0,1,18,74,22,0,0,0,"1,00",6,20,20
"org.apache.commons.logging.impl.ServletContextCleaner",1,1,2,3,3,0,0,2,102,31,0,0,0,"1,50",0,3,3
"org.apache.commons.logging.impl.SimpleLog",2,19,47,66,2,0,1,3,554,264,0,0,0,"2,40",13,30,72
"org.apache.commons.logging.impl.WeakHashtable",3,4,17,21,3,0,0,3,293,133,0,0,0,"1,74",12,22,33
"org.apache.commons.logging.impl.WeakHashtable.Entry",1,2,6,8,0,0,0,3,36,35,0,0,0,"1,83",5,6,11
"org.apache.commons.logging.impl.WeakHashtable.Referenced",2,2,5,7,1,0,0,1,60,37,0,0,0,"1,60",3,6,8
"org.apache.commons.logging.impl.WeakHashtable.WeakKey",2,1,2,3,1,0,0,1,17,12,0,0,0,"1,00",1,2,2

Package,C(rec),LOC(rec),METH(rec)
"",24,6.035,291
"org",24,6.008,291
"org.apache",24,6.008,291
"org.apache.commons",24,6.008,291
"org.apache.commons.logging",24,6.008,291
"org.apache.commons.logging.impl",15,3.734,222

Project,C,L(J),LOCp,METH
"project",24,5.784,6.035,283

