Method,CALL,CALLED,IMP,LOC,NBD,NP,STAT,v(G)
"java.lang.Exception.Exception()",1,0,n/a,6,0,0,1,1
"java.lang.Exception.Exception(String)",1,2,n/a,10,0,1,1,1
"java.lang.Exception.Exception(String,Throwable)",1,0,n/a,12,0,2,1,1
"java.lang.Exception.Exception(String,Throwable,boolean,boolean)",14,0,n/a,38,2,4,18,4
"java.lang.Exception.Exception(Throwable)",1,0,n/a,10,0,1,1,1
"java.lang.Exception.SecurityManagerEx.getInstance()",1,1,n/a,8,1,0,3,2
"java.lang.Exception.SecurityManagerEx.getThrowableContext(Throwable)",3,1,n/a,17,3,1,11,4
"java.lang.Exception.getClassContext()",0,0,n/a,3,0,0,1,1
"null.aliases()",0,21,n/a,3,0,0,1,1
"null.annotationType()",0,4,n/a,3,0,0,1,1
"null.description()",0,2,n/a,3,0,0,1,1
"null.getNames(Session)",1,1,n/a,4,0,1,1,1
"null.handleRoles(Subject,Set<Principal>,String)",6,1,n/a,10,2,3,5,3
"null.multiValued()",0,1,n/a,3,0,0,1,1
"null.name()",0,22,n/a,3,0,0,1,1
"null.position(String,int)",2,1,n/a,4,0,2,1,1
"null.required()",0,1,n/a,3,0,0,1,1
"null.serviceChanged(ServiceEvent)",9,0,n/a,13,3,1,7,6
"null.valueToShowInHelp()",0,4,n/a,3,0,0,1,1
"org.apache.felix.eventadmin.impl.Configuration.Configuration(BundleContext)",10,0,n/a,34,3,1,15,4
"org.apache.felix.eventadmin.impl.Configuration.adaptEvents(EventAdmin)",4,1,n/a,11,0,1,5,1
"org.apache.felix.eventadmin.impl.Configuration.configure(Dictionary<String, ?>)",43,2,n/a,125,3,1,52,14
"org.apache.felix.eventadmin.impl.Configuration.destroy()",6,0,n/a,47,3,0,22,8
"org.apache.felix.eventadmin.impl.Configuration.getBooleanProperty(Object,boolean)",12,6,n/a,28,2,2,9,11
"org.apache.felix.eventadmin.impl.Configuration.getDoubleProperty(String,Object,double,double)",7,2,n/a,38,3,4,12,5
"org.apache.felix.eventadmin.impl.Configuration.getIntProperty(String,Object,int,int)",7,6,n/a,38,3,4,12,5
"org.apache.felix.eventadmin.impl.Configuration.startOrUpdate()",24,2,n/a,60,1,0,19,4
"org.apache.felix.eventadmin.impl.Configuration.tryToCreateManagedService()",2,1,n/a,5,3,0,4,2
"org.apache.felix.eventadmin.impl.Configuration.tryToCreateMetaTypeProvider(Object)",1,1,n/a,14,1,1,3,2
"org.apache.felix.eventadmin.impl.Configuration.updateFromConfigAdmin(Dictionary<String, ?>)",4,1,n/a,9,3,1,4,1
