Method,CALL,CALLED,IMP,LOC,NBD,NP,STAT,v(G)
"fr.jayasoft.ivy.AbstractArtifact.AbstractArtifact()",0,2,n/a,2,0,0,0,1
"fr.jayasoft.ivy.AbstractArtifact.equals(Object)",19,24,n/a,12,1,1,4,8
"fr.jayasoft.ivy.AbstractArtifact.getAttribute(String)",2,4,n/a,3,0,1,1,1
"fr.jayasoft.ivy.AbstractArtifact.getAttributes()",2,2,n/a,3,0,0,1,1
"fr.jayasoft.ivy.AbstractArtifact.getExtraAttribute(String)",2,0,n/a,3,0,1,1,1
"fr.jayasoft.ivy.AbstractArtifact.getExtraAttributes()",2,14,n/a,3,0,0,1,1
"fr.jayasoft.ivy.AbstractArtifact.getStandardAttribute(String)",2,0,n/a,3,0,1,1,1
"fr.jayasoft.ivy.AbstractArtifact.getStandardAttributes()",2,0,n/a,3,0,0,1,1
"fr.jayasoft.ivy.AbstractArtifact.hashCode()",13,2,n/a,12,1,0,9,2
"fr.jayasoft.ivy.AbstractArtifact.toString()",4,8,n/a,3,0,0,1,1
"fr.jayasoft.ivy.Artifact.getConfigurations()",n/a,0,3,n/a,n/a,0,n/a,n/a
"fr.jayasoft.ivy.Artifact.getExt()",n/a,24,3,n/a,n/a,0,n/a,n/a
"fr.jayasoft.ivy.Artifact.getId()",n/a,8,3,n/a,n/a,0,n/a,n/a
"fr.jayasoft.ivy.Artifact.getModuleRevisionId()",n/a,30,3,n/a,n/a,0,n/a,n/a
"fr.jayasoft.ivy.Artifact.getName()",n/a,32,3,n/a,n/a,0,n/a,n/a
"fr.jayasoft.ivy.Artifact.getPublicationDate()",n/a,14,3,n/a,n/a,0,n/a,n/a
"fr.jayasoft.ivy.Artifact.getType()",n/a,25,3,n/a,n/a,0,n/a,n/a
"fr.jayasoft.ivy.Artifact.getUrl()",n/a,11,3,n/a,n/a,0,n/a,n/a
"fr.jayasoft.ivy.ArtifactId.ArtifactId(ModuleId,String,String,String)",0,5,n/a,11,0,4,4,1
"fr.jayasoft.ivy.ArtifactId.equals(Object)",12,26,n/a,10,1,1,4,5
"fr.jayasoft.ivy.ArtifactId.getExt()",0,7,n/a,6,0,0,1,1
"fr.jayasoft.ivy.ArtifactId.getModuleId()",0,13,n/a,6,0,0,1,1
"fr.jayasoft.ivy.ArtifactId.getName()",0,9,n/a,6,0,0,1,1
"fr.jayasoft.ivy.ArtifactId.getType()",0,9,n/a,6,0,0,1,1
"fr.jayasoft.ivy.ArtifactId.hashCode()",6,4,n/a,7,0,0,5,1
"fr.jayasoft.ivy.ArtifactId.toString()",3,8,n/a,3,0,0,1,1
"fr.jayasoft.ivy.ArtifactInfo.getLastModified()",n/a,4,6,n/a,n/a,0,n/a,n/a
"fr.jayasoft.ivy.ArtifactInfo.getRevision()",n/a,4,6,n/a,n/a,0,n/a,n/a
"fr.jayasoft.ivy.ArtifactOrigin.ArtifactOrigin(boolean,String)",0,2,n/a,4,0,2,2,1
"fr.jayasoft.ivy.ArtifactOrigin.getLocation()",0,11,n/a,3,0,0,1,1
"fr.jayasoft.ivy.ArtifactOrigin.isLocal()",0,10,n/a,3,0,0,1,1
"fr.jayasoft.ivy.ArtifactRevisionId.ArtifactRevisionId(ArtifactId,ModuleRevisionId)",1,0,n/a,3,0,2,1,1
"fr.jayasoft.ivy.ArtifactRevisionId.ArtifactRevisionId(ArtifactId,ModuleRevisionId,Map)",16,2,n/a,11,0,3,9,1
"fr.jayasoft.ivy.ArtifactRevisionId.equals(Object)",9,24,n/a,9,1,1,4,4
"fr.jayasoft.ivy.ArtifactRevisionId.getArtifactId()",0,5,n/a,6,0,0,1,1
"fr.jayasoft.ivy.ArtifactRevisionId.getExt()",1,3,n/a,3,0,0,1,1
"fr.jayasoft.ivy.ArtifactRevisionId.getModuleRevisionId()",0,10,n/a,3,0,0,1,1
"fr.jayasoft.ivy.ArtifactRevisionId.getName()",1,3,n/a,3,0,0,1,1
"fr.jayasoft.ivy.ArtifactRevisionId.getRevision()",1,0,n/a,6,0,0,1,1
"fr.jayasoft.ivy.ArtifactRevisionId.getType()",1,3,n/a,3,0,0,1,1
"fr.jayasoft.ivy.ArtifactRevisionId.hashCode()",6,2,n/a,7,0,0,5,1
"fr.jayasoft.ivy.ArtifactRevisionId.newInstance(ModuleRevisionId,String,String,String)",1,0,n/a,3,0,4,1,1
"fr.jayasoft.ivy.ArtifactRevisionId.newInstance(ModuleRevisionId,String,String,String,Map)",3,3,n/a,3,0,5,1,1
"fr.jayasoft.ivy.ArtifactRevisionId.toString()",9,8,n/a,3,0,0,1,1
"fr.jayasoft.ivy.Configuration.Configuration(String)",1,11,n/a,6,0,1,1,1
"fr.jayasoft.ivy.Configuration.Configuration(String,Visibility,String,String[])",1,16,n/a,10,0,4,1,1
"fr.jayasoft.ivy.Configuration.Configuration(String,Visibility,String,String[],boolean)",3,2,n/a,28,2,5,15,5
"fr.jayasoft.ivy.Configuration.Visibility.Visibility(String)",0,2,n/a,3,0,1,1,1
"fr.jayasoft.ivy.Configuration.Visibility.getVisibility(String)",3,1,n/a,9,1,1,5,3
"fr.jayasoft.ivy.Configuration.Visibility.toString()",0,8,n/a,3,0,0,1,1
"fr.jayasoft.ivy.Configuration.addOther(Configuration[],Visibility,Set)",5,3,n/a,9,2,3,6,5
"fr.jayasoft.ivy.Configuration.equals(Object)",3,24,n/a,6,1,1,3,2
"fr.jayasoft.ivy.Configuration.getDescription()",0,3,n/a,6,0,0,1,1
"fr.jayasoft.ivy.Configuration.getExtends()",0,9,n/a,6,0,0,1,1
"fr.jayasoft.ivy.Configuration.getName()",0,16,n/a,6,0,0,1,1
"fr.jayasoft.ivy.Configuration.getVisibility()",0,6,n/a,6,0,0,1,1
"fr.jayasoft.ivy.Configuration.hashCode()",2,2,n/a,3,0,0,1,1
"fr.jayasoft.ivy.Configuration.isTransitive()",0,1,n/a,6,0,0,1,1
"fr.jayasoft.ivy.Configuration.replaceWildcards(ModuleDescriptor)",13,1,n/a,20,2,1,15,6
"fr.jayasoft.ivy.Configuration.toString()",0,8,n/a,3,0,0,1,1
"fr.jayasoft.ivy.ConflictManager.getName()",n/a,3,1,n/a,n/a,0,n/a,n/a
"fr.jayasoft.ivy.ConflictManager.resolveConflicts(IvyNode,Collection)",n/a,1,5,n/a,n/a,2,n/a,n/a
"fr.jayasoft.ivy.DefaultArtifact.DefaultArtifact(ModuleRevisionId,Date,String,String,String)",1,21,n/a,3,0,5,1,1
"fr.jayasoft.ivy.DefaultArtifact.DefaultArtifact(ModuleRevisionId,Date,String,String,String,Map)",1,3,n/a,3,0,6,1,1
"fr.jayasoft.ivy.DefaultArtifact.DefaultArtifact(ModuleRevisionId,Date,String,String,String,URL,Map)",6,6,n/a,20,1,7,13,6
"fr.jayasoft.ivy.DefaultArtifact.cloneWithAnotherMrid(Artifact,ModuleRevisionId)",7,1,n/a,3,0,2,1,1
"fr.jayasoft.ivy.DefaultArtifact.cloneWithAnotherType(Artifact,String)",7,0,n/a,3,0,2,1,1
"fr.jayasoft.ivy.DefaultArtifact.cloneWithAnotherTypeAndExt(Artifact,String,String)",6,1,n/a,3,0,3,1,1
"fr.jayasoft.ivy.DefaultArtifact.getConfigurations()",0,0,n/a,3,0,0,1,1
"fr.jayasoft.ivy.DefaultArtifact.getExt()",1,24,n/a,3,0,0,1,1
"fr.jayasoft.ivy.DefaultArtifact.getId()",0,8,n/a,3,0,0,1,1
"fr.jayasoft.ivy.DefaultArtifact.getModuleRevisionId()",1,30,n/a,3,0,0,1,1
"fr.jayasoft.ivy.DefaultArtifact.getName()",1,32,n/a,3,0,0,1,1
"fr.jayasoft.ivy.DefaultArtifact.getPublicationDate()",0,14,n/a,3,0,0,1,1
"fr.jayasoft.ivy.DefaultArtifact.getType()",1,25,n/a,3,0,0,1,1
"fr.jayasoft.ivy.DefaultArtifact.getUrl()",0,11,n/a,3,0,0,1,1
"fr.jayasoft.ivy.DefaultArtifact.newIvyArtifact(ModuleRevisionId,Date)",1,7,n/a,3,0,2,1,1
"fr.jayasoft.ivy.DefaultArtifact.newPomArtifact(ModuleRevisionId,Date)",2,2,n/a,3,0,2,1,1
"fr.jayasoft.ivy.DefaultDependencyArtifactDescriptor.DefaultDependencyArtifactDescriptor(DefaultDependencyDescriptor,ArtifactId,boolean,PatternMatcher)",1,2,n/a,9,1,4,6,2
"fr.jayasoft.ivy.DefaultDependencyArtifactDescriptor.DefaultDependencyArtifactDescriptor(DefaultDependencyDescriptor,String,String,String,URL,boolean,PatternMatcher)",5,2,n/a,23,1,7,11,4
"fr.jayasoft.ivy.DefaultDependencyArtifactDescriptor.DefaultDependencyArtifactDescriptor(DefaultDependencyDescriptor,String,String,String,boolean,PatternMatcher)",1,4,n/a,4,0,6,1,1
"fr.jayasoft.ivy.DefaultDependencyArtifactDescriptor.addConfiguration(String)",3,3,n/a,13,1,1,4,2
"fr.jayasoft.ivy.DefaultDependencyArtifactDescriptor.equals(Object)",3,24,n/a,7,1,1,4,2
"fr.jayasoft.ivy.DefaultDependencyArtifactDescriptor.getConfigurations()",2,3,n/a,3,0,0,1,1
"fr.jayasoft.ivy.DefaultDependencyArtifactDescriptor.getDependency()",0,0,n/a,3,0,0,1,1
"fr.jayasoft.ivy.DefaultDependencyArtifactDescriptor.getExt()",1,4,n/a,3,0,0,1,1
"fr.jayasoft.ivy.DefaultDependencyArtifactDescriptor.getId()",0,9,n/a,3,0,0,1,1
"fr.jayasoft.ivy.DefaultDependencyArtifactDescriptor.getMatcher()",0,2,n/a,3,0,0,1,1
"fr.jayasoft.ivy.DefaultDependencyArtifactDescriptor.getName()",1,6,n/a,3,0,0,1,1
"fr.jayasoft.ivy.DefaultDependencyArtifactDescriptor.getType()",1,4,n/a,3,0,0,1,1
"fr.jayasoft.ivy.DefaultDependencyArtifactDescriptor.getUrl()",0,2,n/a,3,0,0,1,1
"fr.jayasoft.ivy.DefaultDependencyArtifactDescriptor.hashCode()",2,2,n/a,3,0,0,1,1
"fr.jayasoft.ivy.DefaultDependencyArtifactDescriptor.toString()",1,8,n/a,3,0,0,1,3
"fr.jayasoft.ivy.DefaultDependencyDescriptor.DefaultDependencyDescriptor()",0,1,n/a,2,0,0,0,1
"fr.jayasoft.ivy.DefaultDependencyDescriptor.DefaultDependencyDescriptor(DependencyDescriptor,String)",19,0,n/a,13,1,2,12,2
"fr.jayasoft.ivy.DefaultDependencyDescriptor.DefaultDependencyDescriptor(ModuleDescriptor,ModuleRevisionId,boolean,boolean,boolean)",0,9,n/a,7,0,5,5,1
"fr.jayasoft.ivy.DefaultDependencyDescriptor.DefaultDependencyDescriptor(ModuleRevisionId,boolean)",1,53,n/a,3,0,2,1,1
"fr.jayasoft.ivy.DefaultDependencyDescriptor.DefaultDependencyDescriptor(ModuleRevisionId,boolean,boolean)",0,2,n/a,5,0,3,3,1
"fr.jayasoft.ivy.DefaultDependencyDescriptor.addDependencyArtifactExcludes(String,DependencyArtifactDescriptor)",1,2,n/a,3,0,2,1,1
"fr.jayasoft.ivy.DefaultDependencyDescriptor.addDependencyArtifactIncludes(String,DependencyArtifactDescriptor)",1,5,n/a,3,0,2,1,1
"fr.jayasoft.ivy.DefaultDependencyDescriptor.addDependencyArtifacts(String,DependencyArtifactDescriptor,Map)",4,2,n/a,8,1,3,5,2
"fr.jayasoft.ivy.DefaultDependencyDescriptor.addDependencyConfiguration(String,String)",5,13,n/a,10,1,2,6,3
"fr.jayasoft.ivy.DefaultDependencyDescriptor.addExtends(String)",1,0,n/a,3,0,1,1,1
"fr.jayasoft.ivy.DefaultDependencyDescriptor.asSystem()",0,0,n/a,3,0,0,1,1
"fr.jayasoft.ivy.DefaultDependencyDescriptor.canExclude()",1,2,n/a,7,0,0,1,1
"fr.jayasoft.ivy.DefaultDependencyDescriptor.doesExclude(String[],ArtifactId)",6,1,n/a,15,2,2,9,4
"fr.jayasoft.ivy.DefaultDependencyDescriptor.getAllDependencyArtifacts(Map)",8,2,n/a,8,1,1,6,2
"fr.jayasoft.ivy.DefaultDependencyDescriptor.getAllDependencyArtifactsExcludes()",1,4,n/a,3,0,0,1,1
"fr.jayasoft.ivy.DefaultDependencyDescriptor.getAllDependencyArtifactsIncludes()",1,2,n/a,3,0,0,1,1
"fr.jayasoft.ivy.DefaultDependencyDescriptor.getAttribute(String)",1,6,n/a,3,0,1,1,1
"fr.jayasoft.ivy.DefaultDependencyDescriptor.getAttributes()",1,2,n/a,3,0,0,1,1
"fr.jayasoft.ivy.DefaultDependencyDescriptor.getDependencyArtifacts(String,Map)",8,2,n/a,15,1,2,10,4
"fr.jayasoft.ivy.DefaultDependencyDescriptor.getDependencyArtifactsExcludes(String)",1,3,n/a,3,0,1,1,1
"fr.jayasoft.ivy.DefaultDependencyDescriptor.getDependencyArtifactsExcludes(String[])",6,3,n/a,7,1,1,6,2
"fr.jayasoft.ivy.DefaultDependencyDescriptor.getDependencyArtifactsIncludes(String)",1,5,n/a,3,0,1,1,1
"fr.jayasoft.ivy.DefaultDependencyDescriptor.getDependencyArtifactsIncludes(String[])",6,1,n/a,7,1,1,6,2
"fr.jayasoft.ivy.DefaultDependencyDescriptor.getDependencyConfigurations(String)",1,58,n/a,3,0,1,1,1
"fr.jayasoft.ivy.DefaultDependencyDescriptor.getDependencyConfigurations(String,String)",23,2,n/a,53,3,2,29,10
"fr.jayasoft.ivy.DefaultDependencyDescriptor.getDependencyConfigurations(String[])",7,9,n/a,10,1,1,8,3
"fr.jayasoft.ivy.DefaultDependencyDescriptor.getDependencyId()",2,29,n/a,3,0,0,1,1
"fr.jayasoft.ivy.DefaultDependencyDescriptor.getDependencyRevisionId()",0,75,n/a,3,0,0,1,1
"fr.jayasoft.ivy.DefaultDependencyDescriptor.getExtraAttribute(String)",1,0,n/a,3,0,1,1,1
"fr.jayasoft.ivy.DefaultDependencyDescriptor.getExtraAttributes()",1,12,n/a,3,0,0,1,1
"fr.jayasoft.ivy.DefaultDependencyDescriptor.getModuleConfigurations()",4,43,n/a,3,0,0,1,1
"fr.jayasoft.ivy.DefaultDependencyDescriptor.getNamespace()",0,0,n/a,3,0,0,1,1
"fr.jayasoft.ivy.DefaultDependencyDescriptor.getParentRevisionId()",1,3,n/a,3,0,0,1,2
"fr.jayasoft.ivy.DefaultDependencyDescriptor.getStandardAttribute(String)",1,0,n/a,3,0,1,1,1
"fr.jayasoft.ivy.DefaultDependencyDescriptor.getStandardAttributes()",1,0,n/a,3,0,0,1,1
"fr.jayasoft.ivy.DefaultDependencyDescriptor.isChanging()",0,8,n/a,3,0,0,1,1
"fr.jayasoft.ivy.DefaultDependencyDescriptor.isForce()",0,5,n/a,3,0,0,1,1
"fr.jayasoft.ivy.DefaultDependencyDescriptor.isTransitive()",0,7,n/a,3,0,0,1,1
"fr.jayasoft.ivy.DefaultDependencyDescriptor.replaceFallbackConfigurationPattern(Pattern,String,String)",4,2,n/a,18,2,3,6,3
